Subscription,ResourceGroup,Resource,ResourceType,Environment,Project
Jason Test,jasontest,baigmawin10_OsDisk_1_37daf4cd7e7f4a55bb1363018b62298f,Microsoft.Compute/disks,dev,DCS
Jason Test,jasontest,baigmawin10,Microsoft.Compute/virtualMachines,dev,DCS
Jason Test,jasontest,baigmawin1024,Microsoft.Network/networkInterfaces,dev,DCS
Jason Test,jasontest,baigmawin10-nsg,Microsoft.Network/networkSecurityGroups,dev,DCS
Jason Test,jasontest,baigmawin10-ip,Microsoft.Network/publicIPAddresses,dev,DCS
Jason Test,jasontest,jasontest-vnet,Microsoft.Network/virtualNetworks,,check
Jason Test,jasontest,jasontestvnet156,Microsoft.Network/virtualNetworks,,check
Jason Test,jasontest,jasontestdiag282,Microsoft.Storage/storageAccounts,,check
Jason Test,jasontest,jasontestdiag658,Microsoft.Storage/storageAccounts,,check
Jason Test,NetworkWatcherRG,NetworkWatcher_uksouth,Microsoft.Network/networkWatchers,uat,DCS
Jason Test,NetworkWatcherRG,NetworkWatcher_ukwest,Microsoft.Network/networkWatchers,uat,DCS
Open Data Project Dev/Test,TfGM-UAT,tfgm-uat-api-services4iqc2ddhz7rq,Microsoft.ApiManagement/service,dev,Open data project
Open Data Project Dev/Test,TfGM-UAT,tfgm-uat-scheduler-collection-names4iqc2ddhz7rq,Microsoft.Scheduler/jobcollections,dev,Open data project
Open Data Project Dev/Test,TfGM-UAT,tfgmuatservicebus,Microsoft.ServiceBus/namespaces,dev,Open data project
Open Data Project Dev/Test,TfGM-UAT,tfgmuatsas4iqc2ddhz7rq,Microsoft.Storage/storageAccounts,dev,Open data project
Open Data Project Dev/Test,TfGM-UAT,bmappService,Microsoft.Web/serverFarms,dev,Open data project
Open Data Project Dev/Test,TfGM-UAT,tfgm-uat-clientOpenDataClientAPIs4iqc2ddhz7rq,Microsoft.Web/sites,dev,Open data project
Open Data Project Dev/Test,TfGM-UAT,tfgm-uat-supplierOpenDataSupplierAPIs4iqc2ddhz7rq,Microsoft.Web/sites,dev,Open data project
Open Data Project Dev/Test,WebJobs-WestEurope-LogicApp-UAT-RG,MottsWebJob-Logic-App-UAT,Microsoft.Logic/workflows,dev,Open data project
Open Data Project Live,Api-Default-North-Europe,TFGM,Microsoft.ApiManagement/service,Prod,Open data project
Open Data Project Live,CS-WebJobs-NorthEurope-scheduler,WebJobs-NorthEurope,Microsoft.Scheduler/jobcollections,Prod,Open data project
Open Data Project Live,Default-ServiceBus-NorthEurope,OpenDataServiceBus,Microsoft.ServiceBus/namespaces,Prod,Open data project
Open Data Project Live,Default-Web-NorthEurope,DefaultServerFarm,Microsoft.Web/serverFarms,Prod,Open data project
Open Data Project Live,Default-Web-NorthEurope,OpenDataClientAPI,Microsoft.Web/sites,Prod,Open data project
Open Data Project Live,Default-Web-NorthEurope,OpenDataSupplierAPI,Microsoft.Web/sites,Prod,Open data project
Open Data Project Live,WebJobs-NorthEurope-LogicApp-RG,MottsWebJob-Logic-App,Microsoft.Logic/workflows,Prod,Open data project
Open Data Project Test,Default-ServiceBus-NorthEurope,testtfgm,Microsoft.ServiceBus/namespaces,Ask Pete (uat)?,Open data project
Open Data Project Test,Default-Web-NorthEurope,Default0,Microsoft.Web/serverFarms,Ask Pete (uat)?,Open data project
Open Data Project Test,Default-Web-NorthEurope,tfgmdatatest,Microsoft.Web/sites,Ask Pete (uat)?,Open data project
Open Data Project Test,Default-Web-NorthEurope,tfgmtestadmin,Microsoft.Web/sites,Ask Pete (uat)?,Open data project
Open Data Project Test,Default-Web-NorthEurope,tfgmtestdev,Microsoft.Web/sites,Ask Pete (uat)?,Open data project
SMART-CXP-DEV,AzureBackupRG_uksouth_1,AzureBackup_tfgm-elk-dev_8561360485665798377,Microsoft.Compute/restorePointCollections,,Leave for Will
SMART-CXP-DEV,CXPSmartDev10,CXPSmartDev10/enablevmaccess,Microsoft.Compute/virtualMachines/extensions,,Leave for Will
SMART-CXP-DEV,CXPSmartDev10,CXPSmartDev10/ProvisioningScripts,Microsoft.Compute/virtualMachines/extensions,,Leave for Will
SMART-CXP-DEV,CXPSmartDev4,CXPSmartDev4/enablevmaccess,Microsoft.Compute/virtualMachines/extensions,,Leave for Will
SMART-CXP-DEV,CXPSmartDevADS,SMART-CXP-DEV.com,Microsoft.AAD/DomainServices,,Leave for Will
SMART-CXP-DEV,DevVM-07,DevVM-07/enablevmaccess,Microsoft.Compute/virtualMachines/extensions,,Leave for Will
SMART-CXP-DEV,NetworkWatcherRG,NetworkWatcher_northeurope,Microsoft.Network/networkWatchers,,Leave for Will
SMART-CXP-DEV,NetworkWatcherRG,NetworkWatcher_uksouth,Microsoft.Network/networkWatchers,,Leave for Will
TfGM Corporate,AFS-Trial,TfGM-File-Sync,Microsoft.StorageSync/storageSyncServices,dev,DCS AFS
TfGM Corporate,certificates-kv-tfgm,certificates-kv-tfgm,Microsoft.KeyVault/vaults,,
TfGM Corporate,DefaultResourceGroup-WEU,DefaultWorkspace-dd950ac0-ada1-45c3-8a4a-83c22f16c43e-WEU,Microsoft.OperationalInsights/workspaces,,
TfGM Corporate,DefaultResourceGroup-WEU,SecurityCenterFree(DefaultWorkspace-dd950ac0-ada1-45c3-8a4a-83c22f16c43e-WEU),Microsoft.OperationsManagement/solutions,,
TfGM Corporate,mms-suk,TfGMOMS,Microsoft.OperationalInsights/workspaces,Prod,
TfGM Corporate,mms-suk,ADAssessment(TfGMOMS),Microsoft.OperationsManagement/solutions,Prod,
TfGM Corporate,mms-suk,ADReplication(TfGMOMS),Microsoft.OperationsManagement/solutions,Prod,
TfGM Corporate,mms-suk,CompatibilityAssessment(TfGMOMS),Microsoft.OperationsManagement/solutions,Prod,
TfGM Corporate,mms-suk,DeviceHealthProd(TfGMOMS),Microsoft.OperationsManagement/solutions,Prod,
TfGM Corporate,mms-suk,WaaSUpdateInsights(TfGMOMS),Microsoft.OperationsManagement/solutions,Prod,
TfGM Corporate,securitydata,dd2035northeurope,Microsoft.Storage/storageAccounts,Prod,
TfGM Corporate,TfGM_SIEM_RG,TfGM-SIEM,Microsoft.OperationalInsights/workspaces,Prod,DCS sentinel
TfGM Corporate,TfGM_SIEM_RG,Office365(TfGM-SIEM),Microsoft.OperationsManagement/solutions,Prod,DCS sentinel
TfGM Corporate,TfGM_SIEM_RG,SecurityInsights(TfGM-SIEM),Microsoft.OperationsManagement/solutions,Prod,DCS sentinel
TfGM Corporate,TfGM_SIEM_RG,AzureActivityDashboard_TfGM-SIEM,Microsoft.Portal/dashboards,Prod,DCS sentinel
TfGM Corporate,TfGM_SIEM_RG,AzureADAuditlogsDashboard_TfGM-SIEM,Microsoft.Portal/dashboards,Prod,DCS sentinel
TfGM Corporate,TfGM_SIEM_RG,AzureADSigninlogsDashboard_TfGM-SIEM,Microsoft.Portal/dashboards,Prod,DCS sentinel
TfGM Corporate,TfGM_SIEM_RG,ExchangeOnlineDashboard_TfGM-SIEM,Microsoft.Portal/dashboards,Prod,DCS sentinel
TfGM Corporate,TfGM_SIEM_RG,IdentityAndAccessDashboard_TfGM-SIEM,Microsoft.Portal/dashboards,Prod,DCS sentinel
TfGM Corporate,TfGM_SIEM_RG,Office365Dashboard_TfGM-SIEM,Microsoft.Portal/dashboards,Prod,DCS sentinel
TfGM Corporate,TfGM_SIEM_RG,SharePointAndOneDriveDashboard_TfGM-SIEM,Microsoft.Portal/dashboards,Prod,DCS sentinel
TfGM Corporate,TFGM-CMG-NE,tfgmcmg,Microsoft.Storage/storageAccounts,Prod,DCS cl
TfGM Corporate,TfGM-LA-RG,My-First-Logic-App,Microsoft.Logic/workflows,dev,?
TfGM EDW,AzureBackupRG_northeurope_1,AzureBackup_tfgm-edw-sftp_123146831976619,Microsoft.Compute/restorePointCollections,,
TfGM EDW,DefaultResourceGroup-SUK,DefaultWorkspace-d36decdd-4550-40d9-ad8b-67f12b6e7fdc-SUK,Microsoft.OperationalInsights/workspaces,,
TfGM EDW,DefaultResourceGroup-SUK,SecurityCenterFree(DefaultWorkspace-d36decdd-4550-40d9-ad8b-67f12b6e7fdc-SUK),Microsoft.OperationsManagement/solutions,,
TfGM EDW,DefaultResourceGroup-WEU,DefaultWorkspace-d36decdd-4550-40d9-ad8b-67f12b6e7fdc-WEU,Microsoft.OperationalInsights/workspaces,,
TfGM EDW,DefaultResourceGroup-WEU,SecurityCenterFree(DefaultWorkspace-d36decdd-4550-40d9-ad8b-67f12b6e7fdc-WEU),Microsoft.OperationsManagement/solutions,,
TfGM EDW,EDW-Disks-RG,TfGM-EDW-SFTP-DataDisk,Microsoft.Compute/disks,,
TfGM EDW,EDW-Recovery-RG,EDW-Backup-Vault,Microsoft.RecoveryServices/vaults,,
TfGM EDW,EDW-VM-RG,TfGM-EDW-SFTP_OsDisk_1_eaf6c3bcd94b4fb1afc9cbaab94cc04e,Microsoft.Compute/disks,,
TfGM EDW,EDW-VM-RG,TfGM-EDW-SFTP,Microsoft.Compute/virtualMachines,,
TfGM EDW,EDW-VM-RG,TfGM-EDW-SFTP/IaaSAntimalware,Microsoft.Compute/virtualMachines/extensions,,
TfGM EDW,EDW-VM-RG,TfGM-EDW-SFTP/MicrosoftMonitoringAgent,Microsoft.Compute/virtualMachines/extensions,,
TfGM EDW,EDW-VM-RG,tfgm-edw-sftp566,Microsoft.Network/networkInterfaces,,
TfGM EDW,EDW-VM-RG,TfGM-EDW-SFTP-nsg,Microsoft.Network/networkSecurityGroups,,
TfGM EDW,EDW-VM-RG,TfGM-EDW-SFTP-ip,Microsoft.Network/publicIPAddresses,,
TfGM EDW,EDW-VM-RG,EDW-VM-RG-vnet,Microsoft.Network/virtualNetworks,,
TfGM EDW,EDW-VM-RG,edwvmrgdiag842,Microsoft.Storage/storageAccounts,,
TfGM EDW,NetworkWatcherRG,NetworkWatcher_northeurope,Microsoft.Network/networkWatchers,,
TfGM EDW,NetworkWatcherRG,NetworkWatcher_uksouth,Microsoft.Network/networkWatchers,,
TfGM EDW,NetworkWatcherRG,NetworkWatcher_westeurope,Microsoft.Network/networkWatchers,,
TfGM EDW,SQL-ManagedInstance-02-RG,nsg-sql-managedinstance-04,Microsoft.Network/networkSecurityGroups,,
TfGM EDW,SQL-ManagedInstance-02-RG,rt-sql-managedinstance-04,Microsoft.Network/routeTables,,
TfGM EDW,SQL-ManagedInstance-02-RG,SQL-MI-VNET-04,Microsoft.Network/virtualNetworks,,
TfGM EDW,TestVM2,coupKeyVault,Microsoft.KeyVault/vaults,,
TfGM EDW,TestVM2,vnet-sql-managedinstance-02,Microsoft.Network/virtualNetworks,,
TfGM EDW,TestVnet,tfgmdaDF,Microsoft.DataFactory/factories,,
TfGM EDW,TestVnet,SmallTest-VNET,Microsoft.Network/virtualNetworks,,
TfGM EDW,TestVnet,tfgmtraveldatasc,Microsoft.Storage/storageAccounts,,
TfGM Geospatia,CS-WebJobs-NorthEurope-scheduler,WebJobs-NorthEurope,Microsoft.Logic/workflows,,Ian Hull
TfGM Geospatia,CS-WebJobs-NorthEurope-scheduler,WebJobs-NorthEurope_Carshare_test,Microsoft.Logic/workflows,,Ian Hull
TfGM Geospatia,CS-WebJobs-NorthEurope-scheduler,WebJobs-NorthEurope,Microsoft.Scheduler/jobcollections,,Ian Hull
TfGM Geospatia,DefaultResourceGroup-WEU,DefaultWorkspace-b8089e0e-c021-49c7-9800-c2def272d4a9-WEU,Microsoft.OperationalInsights/workspaces,,Ian Hull
TfGM Geospatia,DefaultResourceGroup-WEU,SecurityCenterFree(DefaultWorkspace-b8089e0e-c021-49c7-9800-c2def272d4a9-WEU),Microsoft.OperationsManagement/solutions,,Ian Hull
TfGM Geospatia,Default-Web-NorthEurope,3D09D3304EDF43F189DFB95C9E940E1AF9EDD298#NorthEuropewebspace,Microsoft.Web/certificates,,Ian Hull
TfGM Geospatia,Default-Web-NorthEurope,7BE3653D7F9D4CD1C53BC50D7957D9A2605D2F4A-NorthEuropewebspace,Microsoft.Web/certificates,,Ian Hull
TfGM Geospatia,Default-Web-NorthEurope,87E6F04B8C4C8F7BC662B460D687760D8F2BE6EC#NorthEuropewebspace,Microsoft.Web/certificates,,Ian Hull
TfGM Geospatia,Default-Web-NorthEurope,F5E5958E65BE49CB3F2C2658465224095EA297F0,Microsoft.Web/certificates,,Ian Hull
TfGM Geospatia,Default-Web-NorthEurope,Default1,Microsoft.Web/serverFarms,,Ian Hull
TfGM Geospatia,Default-Web-NorthEurope,Default2,Microsoft.Web/serverFarms,,Ian Hull
TfGM Geospatia,Default-Web-NorthEurope,bods,Microsoft.Web/sites,,Ian Hull
TfGM Geospatia,Default-Web-NorthEurope,carsharegm,Microsoft.Web/sites,,Ian Hull
TfGM Geospatia,Default-Web-NorthEurope,salmanandfriends,Microsoft.Web/sites,,Ian Hull
TfGM Geospatia,Default-Web-NorthEurope,SSSadmin,Microsoft.Web/sites,,Ian Hull
TfGM Geospatia,Default-Web-NorthEurope,TSIR,Microsoft.Web/sites,,Ian Hull
TfGM Geospatia,Default-Web-NorthEurope,carsharegm/dev,Microsoft.Web/sites/slots,,Ian Hull
TfGM Geospatia,Default-Web-NorthEurope,tsir/tsi-dev,Microsoft.Web/sites/slots,,Ian Hull
TfGM Geospatia,EMKtest,EMKtest,Microsoft.Web/sites,,Ian Hull
TfGM Geospatia,EMKtest,EMKtest/staging,Microsoft.Web/sites/slots,,Ian Hull
TfGM Geospatia,ne-gsweb,GSWEB01/enablevmaccess,Microsoft.Compute/virtualMachines/extensions,,Ian Hull
TfGM Geospatia,ne-gsweb,GSWEB01/IaaSAntimalware,Microsoft.Compute/virtualMachines/extensions,,Ian Hull
TfGM Geospatia,ne-gsweb,GSWEB01/Microsoft.Insights.VMDiagnosticsSettings,Microsoft.Compute/virtualMachines/extensions,,Ian Hull
TfGM Geospatia,ne-gsweb,GSWEB01/MicrosoftMonitoringAgent,Microsoft.Compute/virtualMachines/extensions,,Ian Hull
TfGM Geospatia,ne-gsweb,negswebdiag209,Microsoft.Storage/storageAccounts,,Ian Hull
TfGM Geospatia,NetworkWatcherRG,NetworkWatcher_northeurope,Microsoft.Network/networkWatchers,,Ian Hull
TfGM SharePoint,NetworkWatcherRG,NetworkWatcher_northeurope,Microsoft.Network/networkWatchers,,
TfGM SharePoint,Server-Migration-NorthEurope,TFGMMIGAPP01_DataDisk_0,Microsoft.Compute/disks,Prod,SharePoint Migration
TfGM SharePoint,Server-Migration-NorthEurope,TFGMMIGAPP01_OsDisk_1_e85185f370054217a6acc369d3520d48,Microsoft.Compute/disks,Prod,SharePoint Migration
TfGM SharePoint,Server-Migration-NorthEurope,TFGMMIGDBS01_disk2_93843354a22f4300ab0e6d8c66fbe760,Microsoft.Compute/disks,Prod,SharePoint Migration
TfGM SharePoint,Server-Migration-NorthEurope,TFGMMIGDBS01_OsDisk_1_1500d1f0c797493e81fffa22ef417192,Microsoft.Compute/disks,Prod,SharePoint Migration
TfGM SharePoint,Server-Migration-NorthEurope,TFGMMIGAPP01,Microsoft.Compute/virtualMachines,Prod,SharePoint Migration
TfGM SharePoint,Server-Migration-NorthEurope,TFGMMIGDBS01,Microsoft.Compute/virtualMachines,Prod,SharePoint Migration
TfGM SharePoint,Server-Migration-NorthEurope,TFGMMIGDBS01/SqlIaasExtension,Microsoft.Compute/virtualMachines/extensions,Prod,SharePoint Migration
TfGM SharePoint,Server-Migration-NorthEurope,tfgmmigapp01447,Microsoft.Network/networkInterfaces,Prod,SharePoint Migration
TfGM SharePoint,Server-Migration-NorthEurope,tfgmmigdbs01207,Microsoft.Network/networkInterfaces,Prod,SharePoint Migration
TfGM SharePoint,Server-Migration-NorthEurope,TFGMMIGDBS01-nsg,Microsoft.Network/networkSecurityGroups,Prod,SharePoint Migration
TfGM SharePoint,Server-Migration-NorthEurope,TFGMMIGAPP01-ip,Microsoft.Network/publicIPAddresses,Prod,SharePoint Migration
TfGM SharePoint,Server-Migration-NorthEurope,TFGMMIGDBS01-ip,Microsoft.Network/publicIPAddresses,Prod,SharePoint Migration
